Name,Year,Rating
Frost/Nixon,2008,4
Ran,1985,4
Sherlock Gnomes,2018,2.5
The Hunt for Red October,1990,3.5
Troop Beverly Hills,1989,2.5
Pretty in Pink,1986,3
Pretty Woman,1990,3.5
Mrs. Doubtfire,1993,3.5
The Abyss,1989,3.5
"Crouching Tiger, Hidden Dragon",2000,3.5
Knight and Day,2010,3.5
In Bruges,2008,4.5
Breakfast at Tiffany's,1961,2
The Croods,2013,3
Rise of the Guardians,2012,2.5
8½,1963,3.5
Free Birds,2013,1
Jonah: A VeggieTales Movie,2002,3.5
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,3.5
Unbroken,2014,3
A Grand Day Out,1989,4.5
A Close Shave,1995,4
Raiders of the Lost Ark,1981,4
Madagascar 3: Europe's Most Wanted,2012,3
Footloose,1984,3
Madagascar,2005,3.5
Penguins of Madagascar,2014,2.5
Ice Age,2002,3
Bee Movie,2007,3.5
Cloudy with a Chance of Meatballs 2,2013,3
Home,2015,2.5
The Mask,1994,2
The Little Matchgirl,2006,3
Frozen Fever,2015,2.5
King Kong,1933,4
Ghost Rider,2007,2.5
A Charlie Brown Christmas,1965,4
A Charlie Brown Thanksgiving,1973,4
Kubo and the Two Strings,2016,3
Mr. Peabody & Sherman,2014,1.5
The Boss Baby,2017,2.5
Groundhog Day,1993,4.5
"VeggieTales: Rack, Shack & Benny",1995,3
No Time to Die,2021,3.5
Because of Winn-Dixie,2005,2
The Sandlot,1993,3
Milk,2008,4
Akeelah and the Bee,2006,3
Diary of a Wimpy Kid,2010,1.5
Bill & Ted's Excellent Adventure,1989,3.5
Bill & Ted's Bogus Journey,1991,2
Puss in Boots: The Last Wish,2022,3
The Fabelmans,2022,3.5
Stand by Me,1986,4.5
Paper Moon,1973,4
Burden of Dreams,1982,4
Barbie,2023,4
Reservoir Dogs,1992,4.5
Sister Act,1992,3
Moonstruck,1987,3.5
The Count of Monte Cristo,2002,3
Joker,2019,4
Roundhay Garden Scene,1888,2.5
Birdman or (The Unexpected Virtue of Ignorance),2014,4
Saboteur,1942,3.5
Eraserhead,1977,4
Sky Captain and the World of Tomorrow,2004,3
Tron,1982,3
Sneakers,1992,4
Batman Forever,1995,3
Weekend at Bernie's,1989,2.5
Harry and the Hendersons,1987,2
Zathura: A Space Adventure,2005,3
Super Size Me 2: Holy Chicken!,2017,3.5
Punishment Park,1971,4
The Twilight Saga: New Moon,2009,2
Dog Day Afternoon,1975,4
The Driver,1978,4
Godzilla,1998,2.5
Godzilla,1954,4
"It's the Great Pumpkin, Charlie Brown",1966,4
12 Angry Men,1997,3.5
The Hustler,1961,4
The Ox-Bow Incident,1943,3.5
100% Beef,2013,0.5
Merry Madagascar,2009,3
Robin Hood: Prince of Thieves,1991,3.5
Best in Show,2000,4
Hamlet,1996,4
Ben-Hur,1959,5
The King of Comedy,1982,4
TÁR,2022,4
Grand Illusion,1937,4
Peeping Tom,1960,4.5
WHAT DID JACK DO?,2017,3.5
Ice Merchants,2022,4.5
Pas de Deux,1968,3
"history of the entire world, i guess",2017,4
Feast,2014,3.5
Hittin' the Trail for Hallelujah Land,1931,2.5
Sunday Go to Meetin' Time,1936,1
Duck and Cover,1952,3.5
#1 Fan: A Darkomentary,2005,2
There Will Be Blood,2007,4
Men in Black,1997,3.5
Barton Fink,1991,3.5
Beethoven Lives Upstairs,1992,2.5
Hearts of Darkness: A Filmmaker's Apocalypse,1991,4
The Fly,1980,3.5
Sisyphus,1974,3.5
Amadeus,1984,5
Aquaman,2018,2
Gaslight,1944,4
The Astronomer's Dream,1898,3.5
The Bewitched House,1907,4
Nanny McPhee,2005,2.5
The Lost World: Jurassic Park,1997,3
Notting Hill,1999,3.5
Full Metal Jacket,1987,3.5
Maverick,1994,3
The Blob,1958,2.5
Foreign Correspondent,1940,3.5
2010: The Year We Make Contact,1984,3.5
The Last of the Mohicans,1992,3.5
The Producers,1967,4
What's a Nice Girl Like You Doing in a Place Like This?,1963,4
How the Grinch Stole Christmas,2000,3.5
The Battle of Algiers,1966,4
Hackers,1995,2.5
Miss Pettigrew Lives for a Day,2008,3.5
Miracle on 34th Street,1947,4
Miracle on 34th Street,1994,3.5
Zelig,1983,4
The Philadelphia Story,1940,3.5
Fight Club,1999,4.5
Tropic Thunder,2008,4
Despicable Me 2,2013,3
Despicable Me,2010,3.5
Despicable Me 3,2017,2
Charlie's Angels,2000,3
2012,2009,3
Space Jam,1996,2.5
The Purple Rose of Cairo,1985,4.5
3 Men and a Baby,1987,2.5
Contact,1997,4
Gnomeo & Juliet,2011,3
Chicago,2002,3.5
The Manchurian Candidate,1962,4
The Web,2013,2.5
Sleuth,1972,4
The Day the Earth Stood Still,1951,4
Young and Innocent,1937,3
Trolls,2016,1.5
Mannequin,1987,2
Curious George: A Halloween Boo Fest,2013,3
Mr. & Mrs. Smith,2005,3
That Darn Cat!,1965,2.5
Wild Wild West,1999,0.5
Triumph of the Will,1935,3
Diabolique,1955,4
Family Plot,1976,4
The Bishop's Wife,1947,3.5
Hoch der Lambeth Valk,1941,4
Killers of the Flower Moon,2023,4.5
Shaun of the Dead,2004,4
My Dinner with Andre,1981,4
The Critic,1963,3.5
Wayne's World,1992,3.5
Rabbit of Seville,1950,4
Buccaneer Bunny,1948,4
"What's Opera, Doc?",1957,4
Hare Tonic,1945,4
The Great Piggy Bank Robbery,1946,4
Rabbit Hood,1949,4
Baseball Bugs,1946,4
The Old Grey Hare,1944,3.5
8 Ball Bunny,1950,3
Wild Target,2010,2
Now and Then - The Last Beatles Song,2023,3.5
The Christmas Chronicles,2018,2
Stargate,1994,3
The Skin Game,1931,1.5
Parasite,2019,5
Grumpy Old Men,1993,3
Dune,2021,4
The Killing,1956,4
And Then There Were None,1945,3
Man with a Movie Camera,1929,3.5
Duel,1971,3.5
The Sprinkler Sprinkled,1895,3
Crazy Rich Asians,2018,3
Annie Get Your Gun,1950,1.5
Man,2012,3
Scrooge,1970,3
Real Genius,1985,3
Die Hard,1988,4
The Christmas Chronicles: Part Two,2020,2
A Christmas Story,1983,4
Interstellar,2014,4
Gifted Hands: The Ben Carson Story,2009,2.5
The Apartment,1960,3.5
Django Unchained,2012,4
Splash,1984,2.5
Cool Runnings,1993,2.5
Twelve Angry Men,1954,3
Save Ralph,2021,4.5
Thin Watermelon,2010,2.5
Thingu,2012,4
Daybreak Express,1953,4.5
Double King,2017,4
The Cat Concerto,1947,4
Fiddler on the Roof,1971,4
Percy Jackson & the Olympians: The Lightning Thief,2010,1
One Flew Over the Cuckoo's Nest,1975,4
Fantastic Mr. Fox,2009,4
Spirited,2022,2.5
Nights of Cabiria,1957,4
I.Q.,1994,2
Planet of the Apes,1968,4.5
Spacy,1981,4
Thunder,1982,3.5
Planet 51,2009,2.5
I Confess,1953,4
The Majestic,2001,3.5
The Verdict,1982,4
Lincoln,2012,4
Asteroid City,2023,3.5
The Post,2017,3.5
Singin' in the Rain,1952,4.5
Uncharted,2022,2
Sweet Smell of Success,1957,4
The Addams Family,1991,3
Who Framed Roger Rabbit,1988,4
Dirty Rotten Scoundrels,1988,3.5
Godzilla Minus One,2023,4
Cinema Paradiso,1988,4.5
Hotel Transylvania 3: Summer Vacation,2018,1.5
Rogue One: A Star Wars Story,2016,4
Ace Ventura: When Nature Calls,1995,1.5
John Henry,2000,3
Paul Bunyan,1958,3
Star Wars: Episode I – The Phantom Menace,1999,4
Solo: A Star Wars Story,2018,3
The Love Bug,1968,3
Oppenheimer,2023,5
The Peanuts Movie,2015,3
Aliens,1986,3.5
It Happened One Night,1934,4
Zoolander,2001,3
Pride & Prejudice,2005,4
White Christmas,1954,3.5
One-Minute Time Machine,2014,3.5
Power Rangers,2017,1.5
Dune: Part Two,2024,4
Enola Holmes,2020,2.5
"Olive, the Other Reindeer",1999,3
Wonka,2023,3
Willy Wonka & the Chocolate Factory,1971,4
Mamma Mia!,2008,3
The Circus,1928,4
Carnival of Souls,1962,4
Anatomy of a Fall,2023,4.5
The Nut Job,2014,2
Mickey's Christmas Carol,1983,3.5
All Dogs Go to Heaven,1989,2
Recess: Taking the Fifth Grade,2003,2.5
Persuasion,1995,3.5
Back from Madness: The Struggle for Sanity,1996,2
Claymation Christmas Celebration,1987,3
Nabokov on Kafka,1989,2.5
Metamorphosis,2012,0.5
Sing,2016,2.5
The Thomas Crown Affair,1999,2.5
Woody Woodpecker,2017,0.5
The Social Network,2010,3.5
The Holdovers,2023,4.5
Vincent,1982,4
The Alphabet,1969,2.5
Neighbours,1952,3
Puparia,2020,3.5
Paperman,2012,4
Feral,2012,3
At Land,1944,4
Newark Athlete,1891,3
Stop Making Sense,1984,4
Passage of Venus,1874,2.5
A League of Their Own,1992,4
Saving Private Ryan,1998,4
Night and Fog,1956,4.5
Blazing Saddles,1974,4
Next,2007,2.5
Mad Max 2,1981,4
"The One and Only, Genuine, Original Family Band",1968,3
Hotel Transylvania 2,2015,2
VeggieTales: Josh and the Big Wall,1997,3
Furiosa: A Mad Max Saga,2024,4
Ferdinand,2017,2.5
Coco,2017,3.5
Fantastic Beasts: The Crimes of Grindelwald,2018,2
Fantastic Beasts and Where to Find Them,2016,3
The Office,1966,3.5
Kill Bill: Vol. 1,2003,4.5
The Musician Monkey,1878,2.5
Insomnia,2002,4
Die Hard 2,1990,4
Oklahoma!,1955,3.5
Hoodwinked Too! Hood VS. Evil,2011,1
Die Hard With a Vengeance,1995,3.5
Mad Max: Fury Road,2015,5
Inside Out 2,2024,3
Mad Max Beyond Thunderdome,1985,2.5
Once Upon a Time... in Hollywood,2019,4
Gun Crazy,1950,4
High Noon,1952,4
The Ten Commandments,1956,4
Vampyr,1932,3
What Dreams May Come,1998,3
Badlands,1973,4
Captain Blood,1935,4
Hotel Rwanda,2004,4
Brazil,1985,4
Star Trek,2009,3.5
Star Trek Into Darkness,2013,3
Star Trek Beyond,2016,3
Blade Runner,1982,4.5
The Hitchhiker's Guide to the Galaxy,2005,3
Johnny English Reborn,2011,2
Night at the Museum,2006,3
Who Killed Who?,1943,4
The Killing Fields,1984,4
Twister,1996,3
42nd Street,1933,3.5
Lone Star,1996,4.5
The BFG,2016,2
Lara Croft: Tomb Raider,2001,2.5
Casino Royale,2006,3.5
Hidden Figures,2016,3.5
Death on the Nile,2022,3
Yankee Doodle Dandy,1942,3.5
Mon Oncle,1958,4
A Hard Day's Night,1964,4.5
Scream,1996,3
Detour,1945,3
Storks,2016,2
Pépé le Moko,1937,3.5
Queen Christina,1933,3
X-Men,2000,3
X2,2003,3
X-Men: The Last Stand,2006,3
X-Men: First Class,2011,3
The Umbrellas of Cherbourg,1964,5
Food,1992,4
Close Encounters of the Third Kind,1977,4
Russian Ark,2002,3.5
Freaks,1932,4
Z,1969,4
Wavelength,1967,3
The Jungle Book,1967,3.5
The Exiles,1961,2.5
In the Mood for Love,2000,4.5
Dracula,1931,4
The Four Troublesome Heads,1898,4
Mad Max,1979,4
Hugo,2011,3
The Birth of Cinema,1946,3.5
Edison Kinetoscopic Record of a Sneeze,1894,3
"Traffic in King's Road, Chelsea",1890,2.5
Lorenzo,2004,3
On the Town,1949,3.5
Night of the Living Dead,1968,3.5
A Face in the Crowd,1957,4
Moonrise Kingdom,2012,4
Harold and Maude,1971,4
Kuleshov Effect,1919,3.5
The Birdcage,1996,4
Bullets Over Broadway,1994,4
Battleship Potemkin,1925,3.5
Manhattan,1979,4.5
Rabbits,2002,3.5
Reservoir Dogs,1991,3
David Lynch Cooks Quinoa,2007,4
The Music Box,1932,3.5
Fitzcarraldo,1982,4.5
The House Is Black,1963,4
The Great Train Robbery,1903,4
The Cabinet of Dr. Caligari,1920,3.5
Point Blank,1967,4
10 Rillington Place,1971,4
Sphere,1998,2.5
Tribute to Zgougou the Cat,2002,4
Werner Herzog Eats His Shoe,1980,4
Harvie Krumpet,2003,4
Bowling for Columbine,2002,4
Coming Out,2020,3.5
Wuthering Heights,1939,3.5
A Corner in Wheat,1909,3
The Red Balloon,1956,4
Workers Leaving the Lumière Factory,1895,3.5
The Arrival of a Train at La Ciotat,1896,3.5
Un Chien Andalou,1929,3.5
Lawrence of Arabia,1962,4.5
The Age of Innocence,1993,4
"Planes, Trains and Automobiles",1987,3.5
Sullivan's Travels,1941,4
Electrocuting an Elephant,1903,1.5
Sallie Gardner at a Gallop,1878,3.5
Annie Oakley,1894,3.5
The Flying Train,1902,4
Manhunter,1986,4.5
Joker: Folie à Deux,2024,2.5
We Are Marshall,2006,3
The Life and Death of Colonel Blimp,1943,4
Breathless,1960,3.5
The Swimmer,1968,4
The Thin Blue Line,1988,4
Kind Hearts and Coronets,1949,4
Girlfriends,1978,3
Chungking Express,1994,4
The Fog,1980,3.5
This Is Not a Film,2011,3.5
V for Vendetta,2005,4
Se7en,1995,4
Penelope,2006,2.5
Viy,1967,3.5
The Saint,1997,2.5
We Live in Time,2024,3
RRR,2022,4
Doctor Zhivago,1965,4
The Green Mile,1999,4.5
Nashville,1975,5
Roman Holiday,1953,4
Eragon,2006,1.5
Dracula,1958,4
12 Years a Slave,2013,4
Santa Claus Is Comin' to Town,1970,3
Mister Magoo's Christmas Carol,1962,2.5
Rudolph the Red-Nosed Reindeer,1964,4
Frosty the Snowman,1969,3
Frosty Returns,1992,1.5
Sidelined: The QB and Me,2024,1.5
Only Angels Have Wings,1939,4
An American in Paris,1951,3.5
Kill Bill: Vol. 2,2004,3.5
Roger & Me,1989,4
Superbad,2007,3
Dark City,1998,3.5
Justice League,2017,2
Arnulf Rainer,1960,2
All My Life,1966,4
We Bought a Zoo,2011,2
GoldenEye,1995,3
Johnny Guitar,1954,4
A Haunting in Venice,2023,3
I Know Where I'm Going!,1945,4
Anaconda,1997,2
Glass,1958,4
Nosferatu,2024,3
Erin Brockovich,2000,3.5
Darkest Hour,2017,4
Phantom of the Paradise,1974,5
Twin Peaks,1989,5
The Lighthouse,2019,3.5
Bad Boys,1995,2.5
Donnie Darko,2001,4.5
American Fiction,2023,4
Comingled Containers,1996,4
An Optical Poem,1938,3.5
Atman,1975,3.5
The Life and Death of 9413: A Hollywood Extra,1928,3
The House in the Middle,1954,3.5
Time Piece,1965,4
A Sense of History,1992,4
Bottoms,2023,1.5
Pulp Fiction,1994,4
Topsy-Turvy,1999,4
Network,1976,4
Being There,1979,4.5
A Fish Called Wanda,1988,3.5
Kagemusha,1980,4
The Discreet Charm of the Bourgeoisie,1972,3.5
A Real Pain,2024,4.5
GoodFellas,1990,4.5
Rendezvous,1976,4
La Strada,1954,4
Jumanji,1995,3
Lars and the Real Girl,2007,4
Mikey and Nicky,1976,3
Blood Simple,1984,5
M*A*S*H,1970,4
Blow Out,1981,4
Edward Scissorhands,1990,4
Mean Streets,1973,4
A Minecraft Movie,2025,1.5
The Andromeda Strain,1971,3
The Dante Quartet,1987,4
Mephisto,1981,4
Stagecoach,1939,4.5
In the Heat of the Night,1967,4.5
All That Jazz,1979,4
The Player,1992,3.5
The Long Goodbye,1973,3.5
Conclave,2024,4
Everything Will Be OK,2006,4
The Skeleton Dance,1929,4
Pink Floyd: The Wall,1982,4
A Matter of Loaf and Death,2008,4
Spotlight,2015,4
Taste of Cherry,1997,4
Zodiac,2007,4
Step Brothers,2008,2.5
Sherlock Jr.,1924,5
Begone Dull Care,1949,4
Escape from New York,1981,3.5
Thief,1981,3
Hundreds of Beavers,2022,4
Come and See,1985,5
True Stories,1986,3
Dead Man,1995,3.5
The Pink Panther,1963,3
LEGO: The Adventures of Clutch Powers,2010,2.5
Sense and Sensibility,1995,4.5
The Royal Tenenbaums,2001,4
Rushmore,1998,4
A Clockwork Orange,1971,4
Meet Me in St. Louis,1944,3.5
A Movie,1958,3.5
The Intruder,1962,4
Caddyshack,1980,3
Airplane!,1980,4
Family Guy Presents: Blue Harvest,2007,4
Caché,2005,4
Batman & Robin,1997,2
The Masque of the Red Death,1964,3
A Day in the Country,1946,3.5
An Inconvenient Truth,2006,4
Mothlight,1963,3
Mississippi Burning,1988,4.5
The Phoenician Scheme,2025,3.5
Life of Brian,1979,4
The Lady Eve,1941,4
Seven Samurai,1954,4
Wise Blood,1979,3
Breakaway,1967,2.5
Harlan County U.S.A.,1976,4
The Kiss,1896,3
Tongues Untied,1989,4
Anthem,1992,3
Affirmations,1990,4
The Silence of the Lambs,1991,4
Do the Right Thing,1989,5
The Big Lebowski,1998,4
Long Train Running: A History of the Oakland Blues,1981,2
Ethnic Notions,1986,4
Mildred Pierce,1945,4
First Reformed,2017,3.5
The Last Picture Show,1971,4
Working Girl,1988,3.5
The Fog of War,2003,4
Much Ado About Nothing,1993,4
The Fall Guy,2024,3.5
Victor/Victoria,1982,3.5
Local Hero,1983,4
The Asphalt Jungle,1950,4
The Big Country,1958,4
Monster on the Campus,1958,2.5
Mulholland Drive,2001,4
The Times of Harvey Milk,1984,4.5
Hamlet,1948,3
Born Yesterday,1950,3
Outer Space,1999,4
Independence Day,1996,2.5
Color Adjustment,1992,4
Report,1967,3.5
No Regret,1993,4
Duck Amuck,1953,4.5
CODA,2021,3
Camelot,1967,3
Dirty Harry,1971,4
Gran Torino,2008,4
Platoon,1986,4
Soundtrack to a Coup d'Etat,2024,4
Who's Afraid of Virginia Woolf?,1966,3.5
The Departed,2006,3
The Taking of Power by Louis XIV,1966,3
Duck Soup,1933,4
Seven Up!,1964,3.5
Sinners,2025,4
Rest Energy,1980,4
Wings of Desire,1987,4.5
The Train,1964,4
City of Angels,1998,3.5
Tokyo Drifter,1966,3.5
Lemon,1969,3
The Thomas Crown Affair,1968,3.5
Black Is… Black Ain’t,1994,4
L.A. Confidential,1997,4.5
Night Music,1986,4
Superman,2025,4
The Cameraman's Revenge,1912,4
Children of Heaven,1997,4
Smokey and the Bandit,1977,4
Olympia Part One: Festival of the Nations,1938,4
Olympia Part Two: Festival of Beauty,1938,4
Midnight in Paris,2011,3.5
Au Revoir les Enfants,1987,4.5
Sin City,2005,3
The Naked Gun,2025,3.5
The Hospital,1971,4
La La Land,2016,4
Gone in Sixty Seconds,2000,2.5
Baby Driver,2017,4
Hoodwinked!,2005,4
Bring Her Back,2025,2
Schwechater,1958,3
Crumb,1994,4
Snakes on a Plane,2006,2
American Psycho,2000,3.5
The Life Aquatic with Steve Zissou,2004,4
Bride of Frankenstein,1935,3.5
Bullet Train,2022,3.5
Incredibles 2,2018,3
KPop Demon Hunters,2025,3
A Matter of Life and Death,1946,4